timestamp,node_id,epoch,step,loss,perplexity,samples,tokens
2026-08-28 05:00:40,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,7,3.3906,29.6838,704,1441792
2026-08-28 05:01:31,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,8,3.0312,20.7221,736,1507328
2026-08-28 05:01:35,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,8,3.0312,20.7221,736,1507328
2026-08-28 05:02:27,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,9,2.5156,12.3740,768,1572864
2026-08-28 05:02:31,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,9,2.5156,12.3740,768,1572864
2026-08-28 05:03:23,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,10,3.4219,30.6276,800,1638400
2026-08-28 05:03:27,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,10,3.4219,30.6276,800,1638400
2026-08-28 05:04:19,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,11,3.0000,20.0855,832,1703936
2026-08-28 05:04:23,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,11,3.0000,20.0855,832,1703936
2026-08-28 05:05:15,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,12,3.0469,21.0500,864,1769472
2026-08-28 05:05:19,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,12,3.0469,21.0500,864,1769472
2026-08-28 05:06:10,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,13,2.6875,14.6949,896,1835008
2026-08-28 05:06:14,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,13,2.6875,14.6949,896,1835008
2026-08-28 05:07:06,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,14,2.4688,11.8083,928,1900544
2026-08-28 05:07:10,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,14,2.4688,11.8083,928,1900544
2026-08-28 05:08:02,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,2,15,2.5938,13.3805,960,1966080
