timestamp,node_id,epoch,step,loss,perplexity
2026-08-07 17:30:45,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,3,1,2.4255,11.3079
2026-08-07 17:30:48,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,3,2,2.3848,10.8569
2026-08-07 17:30:48,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,3,2,1.9833,7.2667
2026-08-07 17:30:49,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,3,2,2.0888,8.0752
2026-08-07 17:30:49,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,3,2,2.0577,7.8279
2026-08-07 17:30:52,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,3,3,2.1392,8.4926
2026-08-07 17:30:52,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,3,3,1.8623,6.4385
2026-08-07 17:30:52,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,3,3,1.9973,7.3691
2026-08-07 17:30:54,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,3,3,2.3589,10.5793
2026-08-07 17:30:55,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,3,4,1.8854,6.5890
2026-08-07 17:30:56,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,3,4,2.0560,7.8146
2026-08-07 17:30:56,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,3,4,2.0288,7.6050
2026-08-07 17:30:59,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,3,5,1.9492,7.0231
2026-08-07 17:30:59,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,3,5,1.9495,7.0252
2026-08-07 17:30:59,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,3,4,2.2054,9.0739
2026-08-07 17:31:00,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,3,5,2.2678,9.6581
2026-08-07 17:31:05,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,3,5,2.0556,7.8115
2026-08-07 17:40:42,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,4,1,2.3098,10.0724
2026-08-07 17:40:45,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,4,1,2.0732,7.9502
2026-08-07 17:40:46,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,4,1,2.4141,11.1797
2026-08-07 17:40:46,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,4,2,1.8524,6.3751
2026-08-07 17:40:47,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,4,1,2.0817,8.0181
2026-08-07 17:40:49,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,4,2,2.3813,10.8190
2026-08-07 17:40:49,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,4,2,2.0382,7.6768
2026-08-07 17:40:49,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,4,3,1.9599,7.0986
2026-08-07 17:40:53,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,4,3,2.1277,8.3955
2026-08-07 17:40:53,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,4,2,2.0815,8.0165
2026-08-07 17:40:53,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,4,3,1.9822,7.2587
2026-08-07 17:40:53,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,4,4,2.0411,7.6991
2026-08-07 17:40:56,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,4,4,2.0082,7.4499
2026-08-07 17:40:56,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,4,4,1.8744,6.5169
2026-08-07 17:40:57,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,4,5,1.9449,6.9929
2026-08-07 17:40:58,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,4,3,2.3397,10.3781
